	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx
58	Disorders of phosphorus metabolism	phosphorus metabolism disease	MONDO:0002319	34375979	UKB	219317.0	EUR	Population CC		397
245	Corneal degeneration	corneal degeneration	MONDO:0001515	34375979	UKB	269170.0	EUR	Population CC		818
331	Oesophageal varices	esophageal varices	EFO:0009545	34375979	UKB	187603.0	EUR	Population CC		1040
281	Blepharitis	blepharitis	EFO:0009536	34375979	UKB	269170.0	EUR	Population CC		888
220	Osteonecrosis	osteonecrosis	EFO:0004259	34375979	UKB	269170.0	EUR	Population CC		745
674	Lumbago with sciatica	Sciatica	HP:0011868	34375979	UKB	234263.0	EUR	Population CC		1806
560	Intracerebral haemorrhage| unspecified	intracerebral hemorrhage	EFO:0005669	34375979	UKB	223011.0	EUR	Population CC		1561
955	Sick sinus syndrome	sick sinus syndrome	MONDO:0001823	34375979	UKB	211311.0	EUR	Population CC		2621
273	Tricuspid insufficiency	Tricuspid regurgitation	HP:0005180	34375979	UKB	227635.0	EUR	Population CC		877
272	Cardiac arrest| unspecified	cardiac arrest	EFO:0009492	34375979	UKB	182229.0	EUR	Population CC		876
263	Other nontraumatic intracranial haemorrhage	intracranial hemorrhage	EFO:0000551	34375979	UKB	193754.0	EUR	Population CC		848
596	Diverticular disease of large intestine with perforation and abscess	diverticulitis of colon	MONDO:0001674	34375979	UKB	269170.0	EUR	Population CC		1657
38	Pulmonary oedema	pulmonary edema	EFO:1001134	34375979	UKB	223514.0	EUR	Population CC		347
108	Other congenital malformations	complex cortical dysplasia with other brain malformations	MONDO:0000904	34375979	UKB	237185.0	EUR	Population CC		542
364	Traumatic subdural haemorrhage	Subdural hemorrhage	HP:0100309	34375979	UKB	191315.0	EUR	Population CC		1104
411	Hepatic failure| not elsewhere classified	Hepatic failure	HP:0001399	34375979	UKB	190269.0	EUR	Population CC		1254
961	Persistent atrial fibrillation	atrial fibrillation	EFO:0000275	34375979	UKB	179107.0	EUR	Population CC		2661
886	Pneumonia due to streptococcus pneumoniae	streptococcal pneumonia	EFO:0007499	34375979	UKB	226844.0	EUR	Population CC		2282
879	Hydrocephalus	Hydrocephalus	HP:0000238	34375979	UKB	269170.0	EUR	Population CC		2254
655	Ectopic pregnancy	Ectopic pregnancy	HP:0031456	34375979	UKB	146157.0	EUR	Population CC		1772
199	Seronegative rheumatoid arthritis	rheumatoid arthritis	EFO:0000685	34375979	UKB	216839.0	EUR	Population CC		705
366	Lateral epicondylitis	lateral epicondylitis	EFO:1001896	34375979	UKB	269170.0	EUR	Population CC		1113
407	Diabetic polyneuropathy	diabetic polyneuropathy	MONDO:0001583	34375979	UKB	182167.0	EUR	Population CC		1248
704	Vaginal enterocele	enterocele	EFO:0020006	34375979	UKB	146157.0	EUR	Population CC		1860
97	Fracture of rib	rib fracture	EFO:0009620	34375979	UKB	177205.0	EUR	Population CC		511
332	Oesophageal varices without bleeding	esophageal varices	EFO:0009545	34375979	UKB	191637.0	EUR	Population CC		1041
87	Lichen planus| unspecified	lichen planus	EFO:1000726	34375979	UKB	205091.0	EUR	Population CC		489
294	Cystic kidney disease	Cystic Kidney Disease	EFO:0008615	34375979	UKB	240037.0	EUR	Population CC		904
376	Viral hepatitis	viral human hepatitis infection	EFO:0004196	34375979	UKB	207012.0	EUR	Population CC		1133
847	Peritonsillar abscess	peritonsillar abscess	EFO:0007429	34375979	UKB	218317.0	EUR	Population CC		2163
595	Chronic mucoid otitis media	Otitis media	EFO:0004992	34375979	UKB	269170.0	EUR	Population CC		1653
709	Endometriosis of pelvic peritoneum	endometriosis of pelvic peritoneum	MONDO:0001285	34375979	UKB	146157.0	EUR	Population CC		1873
821	Fracture of nasal bones	bone fracture	EFO:0003931	34375979	UKB	215482.0	EUR	Population CC		2117
415	Other complications of labour and delivery| not elsewhere classified	Ventouse delivery	HP:0011412	34375979	UKB	146157.0	EUR	Population CC		1262
651	Other retinal vascular occlusions	retinal vascular disorder	MONDO:0002311	34375979	UKB	222988.0	EUR	Population CC		1766
722	Alcoholic liver disease| unspecified	alcoholic liver disease	EFO:0008573	34375979	UKB	147099.0	EUR	Population CC		1893
163	Seropositive rheumatoid arthritis| unspecified	juvenile idiopathic arthritis	EFO:0002609	34375979	UKB	208040.0	EUR	Population CC		649
259	Aplastic anaemia| unspecified	Aplastic anemia	HP:0001915	34375979	UKB	198078.0	EUR	Population CC		841
864	Obsessive-compulsive disorder	obsessive-compulsive disorder	EFO:0004242	34375979	UKB	269170.0	EUR	Population CC		2215
686	Other melanin hyperpigmentation measurement	melanin measurement	EFO:0021835	34375979	UKB	269170.0	EUR	Population CC		1826
431	Acute peritonitis	peritonitis	EFO:0008588	34375979	UKB	202324.0	EUR	Population CC		1300
148	Endocarditis| valve unspecified	endocarditis	EFO:0000465	34375979	UKB	225979.0	EUR	Population CC		614
893	Localised swelling| mass and lump| lower limb	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		2301
801	Allergic contact dermatitis	allergic contact dermatitis	EFO:1000668	34375979	UKB	198757.0	EUR	Population CC		2087
826	Other cervical disk degeneration	lumbar disc degeneration	EFO:0004994	34375979	UKB	269170.0	EUR	Population CC		2124
607	Tremor| unspecified	Tremor	HP:0001337	34375979	UKB	269170.0	EUR	Population CC		1677
2	Cervical disk disorder with radiculopathy	radiculopathy	MONDO:0002959	34375979	UKB	236860.0	EUR	Population CC		26
346	Myeloid leukaemia	acute megakaryoblastic leukaemia	EFO:0003025	34375979	UKB	219634.0	EUR	Population CC		1077
792	Systemic lupus erythematosus	systemic lupus erythematosus	MONDO:0007915	34375979	UKB	174675.0	EUR	Population CC		2069
778	Collapsed vertebra| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	269170.0	EUR	Population CC		2037
377	Subarachnoid haemorrhage| unspecified	subarachnoid hemorrhage	EFO:0000713	34375979	UKB	245462.0	EUR	Population CC		1134
106	Unspecified mood [affective] disorder	mood disorder	EFO:0004247	34375979	UKB	200444.0	EUR	Population CC		538
440	Chronic periodontitis	chronic periodontitis	EFO:0006343	34375979	UKB	230928.0	EUR	Population CC		1316
736	Alopecia areata	alopecia areata	EFO:0004192	34375979	UKB	237568.0	EUR	Population CC		1923
631	Kinking and stricture of ureter without hydronephrosis	stricture or kinking of ureter	MONDO:0002674	34375979	UKB	231641.0	EUR	Population CC		1718
677	Other benign neoplasms of connective and other soft tissue	soft tissue sarcoma	EFO:1001968	34375979	UKB	239821.0	EUR	Population CC		1813
984	Trigeminal neuralgia	trigeminal neuralgia	EFO:1001219	34375979	UKB	216863.0	EUR	Population CC		2842
710	Acute appendicitis with generalised peritonitis	appendicitis	EFO:0007149	34375979	UKB	269170.0	EUR	Population CC		1874
877	Fracture of lower end of tibia	tibia fracture	EFO:0003944	34375979	UKB	269170.0	EUR	Population CC		2250
797	Unspecified maternal hypertension	hypertension	EFO:0000537	34375979	UKB	146157.0	EUR	Population CC		2082
418	Radiation proctitis	proctitis	EFO:0005628	34375979	UKB	139085.0	EUR	Population CC		1269
775	Acute tonsillitis| unspecified	Recurrent tonsillitis	HP:0011110	34375979	UKB	269170.0	EUR	Population CC		2033
636	Other forms of acute ischaemic heart disease	cardiovascular disease	EFO:0000319	34375979	UKB	155148.0	EUR	Population CC		1731
952	Subsequent myocardial infarction	Subsequent ST elevation (STEMI) and non-ST elevation (NSTEMI) myocardial infarction	EFO:0008584	34375979	UKB	140992.0	EUR	Population CC		2540
937	Atherosclerosis of aorta	atherosclerosis	EFO:0003914	34375979	UKB	204716.0	EUR	Population CC		2473
495	Lichen sclerosus et atrophicus	lichen sclerosus et atrophicus	MONDO:0007899	34375979	UKB	168062.0	EUR	Population CC		1427
382	Vascular disorders of male genital organs	male reproductive organ cancer	EFO:0007355	34375979	UKB	123013.0	EUR	Population CC		1141
896	Visual field defects	Visual field defect	HP:0001123	34375979	UKB	231431.0	EUR	Population CC		2305
46	Antepartum haemorrhage| not elsewhere classified	Antepartum hemorrhage	HP:0025328	34375979	UKB	146157.0	EUR	Population CC		359
708	Chronic apical periodontitis	Periapical Periodontitis	EFO:1001391	34375979	UKB	234593.0	EUR	Population CC		1871
767	Disease of pericardium| unspecified	pericardium disorder	MONDO:0000474	34375979	UKB	169382.0	EUR	Population CC		2011
561	Mild cervical dysplasia	dysplasia of cervix	EFO:1000910	34375979	UKB	146157.0	EUR	Population CC		1562
89	Other specified cardiac arrhythmias	cardiac arrhythmia	EFO:0004269	34375979	UKB	215640.0	EUR	Population CC		494
811	Monoclonal gammopathy	monoclonal gammopathy	EFO:0000203	34375979	UKB	207703.0	EUR	Population CC		2101
747	Fracture of shaft of tibia	tibia fracture	EFO:0003944	34375979	UKB	211293.0	EUR	Population CC		1958
742	Decubitus ulcer and pressure area| unspecified	decubitus ulcer	EFO:0007067	34375979	UKB	221015.0	EUR	Population CC		1946
625	Otitis media| unspecified	suppurative otitis media	EFO:0007503	34375979	UKB	269170.0	EUR	Population CC		1705
957	Other chronic pain	Chronic pain	HP:0012532	34375979	UKB	231594.0	EUR	Population CC		2631
154	Congenital malformations of spine and bony thorax	diffuse idiopathic skeletal hyperostosis	EFO:0007236	34375979	UKB	234954.0	EUR	Population CC		626
910	Other chronic pancreatitis	pancreatitis	EFO:0000278	34375979	UKB	192208.0	EUR	Population CC		2347
316	Crohn's disease of large intestine	Crohn's disease	EFO:0000384	34375979	UKB	269170.0	EUR	Population CC		956
806	Labour and delivery complicated by umbilical cord complications	Ventouse delivery	HP:0011412	34375979	UKB	146157.0	EUR	Population CC		2094
183	Other disorders of tympanic membrane	tympanic membrane disease	EFO:0009570	34375979	UKB	269170.0	EUR	Population CC		678
718	Chronic atrophic gastritis	atrophic gastritis	EFO:1000826	34375979	UKB	269170.0	EUR	Population CC		1888
353	Anaemia in neoplastic disease	anemia	MONDO:0002280	34375979	UKB	269170.0	EUR	Population CC		1085
392	Encephalitis| myelitis and encephalomyelitis	encephalomyelitis	EFO:0001423	34375979	UKB	269170.0	EUR	Population CC		1168
875	Paralytic strabismus	paralytic strabismus	EFO:0009678	34375979	UKB	228692.0	EUR	Population CC		2238
126	Other salmonella infections	Salmonella Infections	EFO:1001418	34375979	UKB	269170.0	EUR	Population CC		573
859	Enterobiasis	enterobiasis	EFO:0007254	34375979	UKB	221681.0	EUR	Population CC		2195
853	Unspecified malaria	malaria	EFO:0001068	34375979	UKB	204854.0	EUR	Population CC		2172
45	Antepartum haemorrhage| unspecified	Antepartum hemorrhage	HP:0025328	34375979	UKB	146157.0	EUR	Population CC		358
958	Unspecified abdominal hernia without obstruction or gangrene	ventral hernia	EFO:1001866	34375979	UKB	201069.0	EUR	Population CC		2633
714	Disorder of prostate| unspecified	prostate disease	EFO:0009602	34375979	UKB	123013.0	EUR	Population CC		1878
994	Gestational [pregnancy-induced] hypertension without significant proteinuria	preeclampsia	EFO:0000668	34375979	UKB	146157.0	EUR	Population CC		2918
644	Acute lymphadenitis	lymphadenitis	MONDO:0002052	34375979	UKB	218427.0	EUR	Population CC		1750
833	Cramp and spasm	muscle cramp	EFO:0009846	34375979	UKB	269170.0	EUR	Population CC		2136
430	Diabetes mellitus in pregnancy	gestational diabetes	EFO:0004593	34375979	UKB	160096.0	EUR	Population CC		1299
470	Chronic anal fissure	Anal fissure	HP:0012390	34375979	UKB	222753.0	EUR	Population CC		1360
401	Cervical disk disorder with myelopathy	spondylosis	MONDO:0002253	34375979	UKB	204171.0	EUR	Population CC		1234
428	Irritant contact dermatitis	irritant dermatitis	EFO:1000718	34375979	UKB	269170.0	EUR	Population CC		1295
888	Coma| unspecified	Coma	HP:0001259	34375979	UKB	223660.0	EUR	Population CC		2285
110	Hepatic failure| unspecified	Hepatic failure	HP:0001399	34375979	UKB	182462.0	EUR	Population CC		544
187	Third degree haemorrhoids	third-degree atrioventricular block	MONDO:0000468	34375979	UKB	230649.0	EUR	Population CC		683
788	Epidermal thickening| unspecified	Epidermal thickening	HP:0011368	34375979	UKB	269170.0	EUR	Population CC		2061
706	Alcoholic cirrhosis of liver	alcoholic liver cirrhosis	EFO:1000802	34375979	UKB	151130.0	EUR	Population CC		1866
75	Gilbert's syndrome	Gilbert syndrome	EFO:0005556	34375979	UKB	173113.0	EUR	Population CC		423
112	Iron deficiency	Iron deficiency anemia	HP:0001891	34375979	UKB	269170.0	EUR	Population CC		549
887	Folate deficiency anaemia	folate deficiency	EFO:0001070	34375979	UKB	235517.0	EUR	Population CC		2284
115	Cholesteatoma of middle ear	cholesteatoma of middle ear	EFO:1000678	34375979	UKB	269170.0	EUR	Population CC		553
426	Disorders of autonomic nervous system	autonomic nervous system disease	EFO:0009532	34375979	UKB	214848.0	EUR	Population CC		1292
117	Sensorineural hearing loss| unspecified	sensorineural hearing loss	EFO:1001176	34375979	UKB	237867.0	EUR	Population CC		560
950	Postprocedural respiratory disorders| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	212886.0	EUR	Population CC		2530
355	Acute haemorrhagic gastritis	gastritis	EFO:0000217	34375979	UKB	269170.0	EUR	Population CC		1090
452	Sarcoidosis| unspecified	sarcoidosis	MONDO:0019338	34375979	UKB	269170.0	EUR	Population CC		1333
85	Fracture of bone in neoplastic disease	bone fracture	EFO:0003931	34375979	UKB	215702.0	EUR	Population CC		487
439	Sequelae of cerebral infarction	cerebral infarction	MONDO:0002679	34375979	UKB	184765.0	EUR	Population CC		1314
230	Rheumatic mitral valve diseases	mitral valve disease	EFO:0009557	34375979	UKB	269170.0	EUR	Population CC		763
1	Malunion of fracture	malunion fracture	EFO:0010684	34375979	UKB	229675.0	EUR	Population CC		25
358	Other juvenile osteochondrosis	Juvenile Osteochondrosis	EFO:0008577	34375979	UKB	208563.0	EUR	Population CC		1094
970	Premature rupture of membranes| unspecified	Premature rupture of membranes	HP:0001788	34375979	UKB	146157.0	EUR	Population CC		2703
727	Ventricular fibrillation and flutter	Ventricular flutter	HP:0011841	34375979	UKB	154077.0	EUR	Population CC		1900
890	Multiple gestation	multiple gestation	EFO:0009576	34375979	UKB	146157.0	EUR	Population CC		2288
210	Other disorders involving the immune mechanism| not elsewhere classified	immune system disease	EFO:0000540	34375979	UKB	233409.0	EUR	Population CC		730
350	Plantar fascial fibromatosis	Plantar Fibromatosis	EFO:1000481	34375979	UKB	235511.0	EUR	Population CC		1081
525	Traumatic subarachnoid haemorrhage	subarachnoid hemorrhage	EFO:0000713	34375979	UKB	200304.0	EUR	Population CC		1491
98	Mild cognitive disorder	cognitive disorder	MONDO:0002039	34375979	UKB	224103.0	EUR	Population CC		521
988	Hypermetropia	Hypermetropia	HP:0000540	34375979	UKB	226944.0	EUR	Population CC		2856
502	Postoperative intestinal obstruction	intestinal obstruction	MONDO:0004565	34375979	UKB	208045.0	EUR	Population CC		1439
971	Other cervical disk displacement	Intervertebral Disc Displacement	EFO:1001800	34375979	UKB	269170.0	EUR	Population CC		2707
810	Acute pericarditis	pericarditis	EFO:0007427	34375979	UKB	172691.0	EUR	Population CC		2100
571	Malignant neoplasm of other connective and soft tissue	connective and soft tissue neoplasm	MONDO:0044334	34375979	UKB	223269.0	EUR	Population CC		1575
417	Inflammatory polyneuropathy	chronic inflammatory demyelinating polyneuropathy	EFO:0009538	34375979	UKB	225524.0	EUR	Population CC		1267
666	Disorder of ligament	ligament disorder	MONDO:0045044	34375979	UKB	269170.0	EUR	Population CC		1789
858	Other viral agents as the cause of diseases classified to other chapters	respiratory system disease	EFO:0000684	34375979	UKB	244728.0	EUR	Population CC		2191
250	Pruritus| unspecified	Pruritus	HP:0000989	34375979	UKB	240690.0	EUR	Population CC		825
311	Cellulitis of face	cellulitis	EFO:0003035	34375979	UKB	242918.0	EUR	Population CC		944
566	Incisional hernia without obstruction or gangrene	Incisional hernia	HP:0004872	34375979	UKB	228180.0	EUR	Population CC		1569
477	Myelodysplastic syndromes	myelodysplastic syndrome	EFO:0000198	34375979	UKB	206382.0	EUR	Population CC		1378
962	Other female genital prolapse	prolapse of female genital organ	MONDO:0001592	34375979	UKB	146157.0	EUR	Population CC		2666
705	Resistance to methicillin	Methicillin-Resistant Staphylococcus Aureus Infection	EFO:0008555	34375979	UKB	231554.0	EUR	Population CC		1865
628	Osteonecrosis| unspecified	osteonecrosis	EFO:0004259	34375979	UKB	269170.0	EUR	Population CC		1714
463	Streptococcal septicaemia	streptococcal pneumonia	EFO:0007499	34375979	UKB	195805.0	EUR	Population CC		1349
69	Congenital malformations of aortic and mitral valves	congenital left-sided heart lesions	EFO:0005938	34375979	UKB	198669.0	EUR	Population CC		417
335	Sialoadenitis	sialadenitis	EFO:1001179	34375979	UKB	239865.0	EUR	Population CC		1047
52	Dislocation of shoulder joint	Joint dislocation	HP:0001373	34375979	UKB	204823.0	EUR	Population CC		372
258	Septic shock	septic shock	EFO:0006834	34375979	UKB	200705.0	EUR	Population CC		840
592	Localised swelling| mass and lump| neck	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		1648
763	Other specified haemorrhoids	anthrax infection	EFO:0000778	34375979	UKB	269170.0	EUR	Population CC		2004
916	Dementia in other diseases classified elsewhere	cardiomyopathy	EFO:0000318	34375979	UKB	192172.0	EUR	Population CC		2363
731	Status asthmaticus	Status Asthmaticus	EFO:0008590	34375979	UKB	269170.0	EUR	Population CC		1910
912	Other specified disorders of white blood cells	granulocyte percentage of myeloid white cells	EFO:0007997	34375979	UKB	227676.0	EUR	Population CC		2352
603	Fracture of upper end of radius	radius fracture	EFO:0003957	34375979	UKB	240475.0	EUR	Population CC		1673
728	Nonorganic sleep disorders	Sleep Disorder	EFO:0008568	34375979	UKB	269170.0	EUR	Population CC		1902
564	Chronic viral hepatitis	chronic hepatitis	EFO:0008496	34375979	UKB	184519.0	EUR	Population CC		1567
351	Asphyxia	asphyxia	EFO:0009446	34375979	UKB	222239.0	EUR	Population CC		1082
906	Malignant neoplasm of larynx	Malignant Laryngeal Neoplasm	EFO:1000354	34375979	UKB	145744.0	EUR	Population CC		2329
642	Delirium superimposed on dementia	delirium	EFO:0009267	34375979	UKB	218466.0	EUR	Population CC		1748
682	Fracture of metatarsal bone	bone fracture	EFO:0003931	34375979	UKB	242845.0	EUR	Population CC		1821
475	Myelodysplastic syndrome| unspecified	myelodysplastic syndrome	EFO:0000198	34375979	UKB	202316.0	EUR	Population CC		1375
474	Haemolytic anaemias	Congenital hemolytic anemia	HP:0004804	34375979	UKB	269170.0	EUR	Population CC		1364
793	Undescended testicle	cryptorchidism	EFO:0004562	34375979	UKB	123013.0	EUR	Population CC		2070
782	Methicillin resistant agent	Methicillin-Resistant Staphylococcus Aureus Infection	EFO:0008555	34375979	UKB	224359.0	EUR	Population CC		2048
505	Chronic tonsillitis	Recurrent tonsillitis	HP:0011110	34375979	UKB	236952.0	EUR	Population CC		1448
772	Chronic laryngitis and laryngotracheitis	croup	EFO:0007227	34375979	UKB	235475.0	EUR	Population CC		2027
529	Localised swelling| mass and lump| head	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		1499
684	Peritonitis| unspecified	peritonitis	EFO:0008588	34375979	UKB	237025.0	EUR	Population CC		1823
721	Male infertility	male infertility	EFO:0004248	34375979	UKB	124192.0	EUR	Population CC		1892
48	Benign lipomatous neoplasm of other sites	benign lipomatous neoplasm	MONDO:0044983	34375979	UKB	269170.0	EUR	Population CC		365
388	Malignant neoplasm of small intestine	small intestine cancer	MONDO:0000956	34375979	UKB	218767.0	EUR	Population CC		1161
756	Other specific joint derangements| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	239236.0	EUR	Population CC		1993
689	Diseases of bronchus| not elsewhere classified	respiratory system disease	EFO:0000684	34375979	UKB	269170.0	EUR	Population CC		1830
167	Threatened abortion	abortion	EFO:1001491	34375979	UKB	146157.0	EUR	Population CC		656
774	Impacted cerumen	Impacted tooth	HP:0011079	34375979	UKB	269170.0	EUR	Population CC		2032
843	Cerebral atherosclerosis	cerebral atherosclerosis	EFO:1000860	34375979	UKB	197974.0	EUR	Population CC		2153
161	Other specified menopausal and perimenopausal disorders	postmenopausal osteoporosis	EFO:0003854	34375979	UKB	146157.0	EUR	Population CC		645
24	Moderate cervical dysplasia	dysplasia of cervix	EFO:1000910	34375979	UKB	146157.0	EUR	Population CC		285
837	Sensorineural hearing loss| bilateral	Progressive sensorineural hearing impairment	HP:0000408	34375979	UKB	239019.0	EUR	Population CC		2143
490	Chondromalacia patellae	chondromalacia patellae	MONDO:0008207	34375979	UKB	269170.0	EUR	Population CC		1410
822	Phlebitis and thrombophlebitis of superficial vessels of lower extremities	Phlebitis	EFO:1001395	34375979	UKB	269170.0	EUR	Population CC		2118
549	Fracture of shaft of humerus	humerus fracture	EFO:0003943	34375979	UKB	269170.0	EUR	Population CC		1540
121	Arteritis| unspecified	Arteritis	EFO:0009011	34375979	UKB	269170.0	EUR	Population CC		566
615	Disorders of purine and pyrimidine metabolism	inborn disorder of purine or pyrimidine metabolism	MONDO:0019254	34375979	UKB	163292.0	EUR	Population CC		1690
850	Candidiasis| unspecified	candidiasis	MONDO:0002026	34375979	UKB	269170.0	EUR	Population CC		2166
663	Other specified degenerative diseases of nervous system	neurodegenerative disease	EFO:0005772	34375979	UKB	225524.0	EUR	Population CC		1784
692	Divergent concomitant strabismus	Strabismus	HP:0000486	34375979	UKB	269170.0	EUR	Population CC		1834
836	Leukoplakia and other disturbances of oral epithelium| including tongue	leukoplakia of tongue	EFO:0006885	34375979	UKB	269170.0	EUR	Population CC		2141
288	Sequelae of injuries of neck and trunk	cutaneous melanoma	EFO:0000389	34375979	UKB	206662.0	EUR	Population CC		898
77	Spondylolysis	spondylolysis	EFO:0005649	34375979	UKB	269170.0	EUR	Population CC		425
585	Inflammatory disease of uterus| except cervix	uterine inflammatory disease	EFO:0009572	34375979	UKB	146157.0	EUR	Population CC		1630
177	Cerebral infarction due to thrombosis of cerebral arteries	intracranial thrombosis	MONDO:0002907	34375979	UKB	207406.0	EUR	Population CC		670
769	Acute poliomyelitis	poliomyelitis	EFO:0007450	34375979	UKB	269170.0	EUR	Population CC		2019
131	Unspecified nonorganic psychosis	psychosis	EFO:0005407	34375979	UKB	269170.0	EUR	Population CC		583
921	Unilateral or unspecified inguinal hernia| with obstruction| without gangrene	gangrene	EFO:0008574	34375979	UKB	146493.0	EUR	Population CC		2384
915	Glomerular disorders in diabetes mellitus	diabetes mellitus	EFO:0000400	34375979	UKB	177963.0	EUR	Population CC		2362
205	Hydroureter	Hydroureter	HP:0000072	34375979	UKB	193015.0	EUR	Population CC		714
493	Intrahepatic bile duct carcinoma	intrahepatic cholangiocarcinoma	EFO:1001961	34375979	UKB	269170.0	EUR	Population CC		1423
944	Gestational [pregnancy-induced] hypertension with significant proteinuria	preeclampsia	EFO:0000668	34375979	UKB	146157.0	EUR	Population CC		2490
799	Blindness| both eyes	Blindness	HP:0000618	34375979	UKB	233558.0	EUR	Population CC		2085
825	Benign lipomatous neoplasm of intra-abdominal organs	benign lipomatous neoplasm	MONDO:0044983	34375979	UKB	269170.0	EUR	Population CC		2121
927	Localised swelling| mass and lump| trunk	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		2407
509	Nonsuppurative otitis media| unspecified	non-suppurative otitis media	MONDO:0001212	34375979	UKB	269170.0	EUR	Population CC		1456
435	Isolated proteinuria	Proteinuria	HP:0000093	34375979	UKB	190361.0	EUR	Population CC		1306
330	Cranial nerves	tumour of cranial and spinal nerves	EFO:0002431	34375979	UKB	269170.0	EUR	Population CC		1039
215	Optic neuritis	optic neuritis	EFO:0007405	34375979	UKB	214155.0	EUR	Population CC		736
555	Persistent delusional disorders	delusional disorder	MONDO:0004359	34375979	UKB	269170.0	EUR	Population CC		1551
789	Disorders of initiating and maintaining sleep [insomnias]	Sleep Disorder	EFO:0008568	34375979	UKB	269170.0	EUR	Population CC		2062
123	Manic episode	manic or hypomanic episode	EFO:0007706	34375979	UKB	269170.0	EUR	Population CC		569
627	Degenerative myopia	pathological myopia	EFO:0004207	34375979	UKB	269170.0	EUR	Population CC		1712
547	Myositis	myositis	EFO:0000783	34375979	UKB	218510.0	EUR	Population CC		1534
256	Otalgia	Ear pain	HP:0030766	34375979	UKB	239733.0	EUR	Population CC		837
31	Glossitis	glossitis	EFO:1000951	34375979	UKB	269170.0	EUR	Population CC		334
284	Fracture of acetabulum	hip fracture	EFO:0003964	34375979	UKB	178203.0	EUR	Population CC		893
349	Myasthenia gravis and other myoneural disorders	acquired rippling muscle disease	MONDO:0021142	34375979	UKB	269170.0	EUR	Population CC		1080
938	Leukoplakia of penis	leukoplakia of penis	EFO:1001015	34375979	UKB	123013.0	EUR	Population CC		2475
504	Pain| unspecified	pain	EFO:0003843	34375979	UKB	269170.0	EUR	Population CC		1444
862	Oesophageal varices in diseases classified elsewhere	esophageal varices	EFO:0009545	34375979	UKB	172615.0	EUR	Population CC		2210
343	Other specified septicaemia	anthrax infection	EFO:0000778	34375979	UKB	197126.0	EUR	Population CC		1074
352	Hypertrichosis	hypertrichosis	MONDO:0019280	34375979	UKB	147299.0	EUR	Population CC		1084
252	Benign lipomatous neoplasm| unspecified	benign lipomatous neoplasm	MONDO:0044983	34375979	UKB	235852.0	EUR	Population CC		833
184	Benign neoplasm of bone and articular cartilage	bone benign neoplasm	MONDO:0000631	34375979	UKB	269170.0	EUR	Population CC		679
770	Pruritus ani	Pruritus	HP:0000989	34375979	UKB	229745.0	EUR	Population CC		2022
660	Acute and subacute endocarditis	subacute bacterial endocarditis	EFO:1001193	34375979	UKB	163588.0	EUR	Population CC		1779
903	Neoplasm of uncertain or unknown behaviour of female genital organs	Genital neoplasm, female	EFO:1001331	34375979	UKB	146157.0	EUR	Population CC		2316
897	Abnormal level of blood mineral	mineral metabolism disease	EFO:0009556	34375979	UKB	269170.0	EUR	Population CC		2306
960	Respiratory disorders in diseases classified elsewhere	respiratory system disease	EFO:0000684	34375979	UKB	269170.0	EUR	Population CC		2657
790	Abnormal levels of other serum enzymes	abnormality of serum enzyme levels	EFO:0009826	34375979	UKB	223016.0	EUR	Population CC		2065
471	Alkalosis	Alkalosis	HP:0001948	34375979	UKB	269170.0	EUR	Population CC		1361
670	Postprocedural disorders of eye and adnexa| not elsewhere classified	eye adnexa disease	EFO:0009546	34375979	UKB	269170.0	EUR	Population CC		1796
313	Lupus erythematosus	lupus erythematosus	MONDO:0004670	34375979	UKB	193304.0	EUR	Population CC		953
743	Nonspecific lymphadenitis	Lymphadenitis	HP:0002840	34375979	UKB	269170.0	EUR	Population CC		1947
878	Localised swelling| mass and lump| upper limb	localized superficial swelling, mass, or lump	EFO:0010683	34375979	UKB	269170.0	EUR	Population CC		2253
654	Sialolithiasis	sialolithiasis	EFO:1001180	34375979	UKB	234403.0	EUR	Population CC		1771
165	Other disorders of carbohydrate metabolism	Disorder of carbohydrate metabolism	Orphanet:79161	34375979	UKB	221240.0	EUR	Population CC		653
116	Lactose intolerance	lactose intolerance	EFO:1000062	34375979	UKB	196781.0	EUR	Population CC		556
469	Impotence of organic origin	Impotence	HP:0000802	34375979	UKB	123013.0	EUR	Population CC		1359
967	Viral infections of the central nervous system	central nervous system infection	EFO:1001456	34375979	UKB	269170.0	EUR	Population CC		2693
574	Other specified diabetes mellitus	diabetes mellitus	EFO:0000400	34375979	UKB	230528.0	EUR	Population CC		1600
217	Hypopituitarism	hypopituitarism	EFO:0001380	34375979	UKB	190550.0	EUR	Population CC		738
740	Acute prostatitis	prostatitis	EFO:0003830	34375979	UKB	123013.0	EUR	Population CC		1937
285	Liver cell carcinoma	hepatocellular carcinoma	EFO:0000182	34375979	UKB	161498.0	EUR	Population CC		894
