	Reported Trait	Trait Label	Trait Ontology id	PMID	COHORT	N	Ancestry	Classification	Notes	rv_idx	Trait	Mapped	TraitExp	MappedExp	MAPPED_TRAIT_CLEAN	TRAIT_CODE_CLEAN
168	HDL (HUNT) measurement	HDL cholesterol change measurement	EFO:0007805	32424355	UKB	69716.0	EUR	Population Q	Mixed Q/CC; Has heritability	168	hdl (hunt) measurement	hdl cholesterol change measurement	high density lipoprotein (hdl) (hunt) measurement	high density lipoprotein (hdl) cholesterol change measurement	hdl cholesterol change measurement	EFO_0007805
171	Lung FEV1/FVC	FEV/FEC ratio	EFO:0004713	34226706	UKB	371898.0	EUR	Population Q		171	lung fev1/fvc	fev/fec ratio	lung forced expiratory volume (fev)1/forced vital capacity (fvc)	forced expiratory volume (fev)/forced expiratory volume (fec) ratio	fev/fec ratio	EFO_0004713
234	Biochemistry Albumin	serum albumin	PR:000003918	34226706	UKB	400938.0	EUR	Population Q		234	biochemistry albumin	serum albumin	biochemistry albumin	serum albumin	serum albumin	PR_000003918
236	LDL-C measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36280733	Mixed	74962.0	EUR	Ascertained Q	Mixed N	236	ldl-c measurement	low density lipoprotein cholesterol measurement	low density lipoprotein (ldl)-c measurement	low density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	EFO_0004611
240	Albumin measurement	serum albumin measurement	EFO:0004535	37262146	UKB	368942.0	EUR	Population Q	Mixed Q/CC	240	albumin measurement	serum albumin measurement	albumin measurement	serum albumin measurement	serum albumin measurement	EFO_0004535
276	Albumin measurement	serum albumin measurement	EFO:0004535	36088354	UKB	168138.0	EUR	Population Q		276	albumin measurement	serum albumin measurement	albumin measurement	serum albumin measurement	serum albumin measurement	EFO_0004535
279	Biochemistry HbA1c measurement	HbA1c measurement	EFO:0004541	34226706	UKB	437749.0	EUR	Population Q		279	biochemistry hba1c measurement	hba1c measurement	biochemistry hba1c measurement	hba1c measurement	hba1c measurement	EFO_0004541
280	Blood RED COUNT	erythrocyte count	EFO:0004305	34226706	UKB	445305.0	EUR	Population Q		280	blood red count	erythrocyte count	blood red count	erythrocyte count	erythrocyte count	EFO_0004305
281	Blood HEMOGLOBIN measurement	hemoglobin measurement	EFO:0004509	34226706	UKB	445373.0	EUR	Population Q		281	blood hemoglobin measurement	hemoglobin measurement	blood hemoglobin measurement	hemoglobin measurement	hemoglobin measurement	EFO_0004509
283	Red_blood_cell_erythrocyte_count	erythrocyte count	EFO:0004305	37262146	UKB	409929.0	EUR	Population Q	Mixed Q/CC	283	red_blood_cell_erythrocyte_count	erythrocyte count	red_blood_cell_erythrocyte_count	erythrocyte count	erythrocyte count	EFO_0004305
288	Spontaneous vertedelivery	spontaneous abortion	EFO:1001255	34375979	UKB	281104.0	EUR	Population CC/Q		288	spontaneous vertedelivery	spontaneous abortion	spontaneous vertedelivery	spontaneous abortion	spontaneous abortion	EFO_1001255
289	Thyrotoxicosis [hyperthyroidism])	Thyrotoxicosis	EFO:0009190	34375979	UKB	281104.0	EUR	Population CC/Q		289	thyrotoxicosis [hyperthyroidism])	thyrotoxicosis	thyrotoxicosis [hyperthyroidism])	thyrotoxicosis	thyrotoxicosis	EFO_0009190
294	Fracture pelvis & lower limb	fracture of pelvis	EFO:0009622	34375979	UKB	281104.0	EUR	Population CC/Q		294	fracture pelvis & lower limb	fracture of pelvis	fracture pelvis & lower limb	fracture of pelvis	fracture of pelvis	EFO_0009622
295	Biochemistry Alkaline Phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	34226706	UKB	437896.0	EUR	Population Q		295	biochemistry alkaline phosphatase measurement	alkaline phosphatase measurement	biochemistry alkaline phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	EFO_0004533
296	Aspartate_aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	EFO:0008031	37262146	UKB	401372.0	EUR	Population Q	Mixed Q/CC	296	aspartate_aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	aspartate_aminotransferase measurement	aspartate aminotransferase, cytoplasmic measurement	aspartate aminotransferase, cytoplasmic measurement	EFO_0008031
298	Alkaline_phosphatase measurement	alkaline phosphatase measurement	EFO:0004533	37262146	UKB	402875.0	EUR	Population Q	Mixed Q/CC	298	alkaline_phosphatase measurement	alkaline phosphatase measurement	alkaline_phosphatase measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	EFO_0004533
301	Alanine_aminotransferase measurement	alanine aminotransferase 1 measurement	EFO:0802260	37262146	UKB	402703.0	EUR	Population Q	Mixed Q/CC	301	alanine_aminotransferase measurement	alanine aminotransferase 1 measurement	alanine_aminotransferase measurement	alanine aminotransferase 1 measurement	alanine aminotransferase 1 measurement	EFO_0802260
304	Alkaline phosphatase (+1) measurement	alkaline phosphatase measurement	EFO:0004533	36088354	UKB	182741.0	EUR	Population Q		304	alkaline phosphatase (+1) measurement	alkaline phosphatase measurement	alkaline phosphatase (+1) measurement	alkaline phosphatase measurement	alkaline phosphatase measurement	EFO_0004533
306	Standing_height	body height	EFO:0004339	37262146	UKB	421112.0	EUR	Population Q	Mixed Q/CC	306	standing_height	body height	standing_height	body height	body height	EFO_0004339
307	Whole_body_water_mass	whole body water mass	EFO:0009805	37262146	UKB	414762.0	EUR	Population Q	Mixed Q/CC	307	whole_body_water_mass	whole body water mass	whole_body_water_mass	whole body water mass	whole body water mass	EFO_0009805
310	Biochemistry Alanine Amino transferase	alanine	CHEBI:16449	34226706	UKB	437724.0	EUR	Population Q		310	biochemistry alanine amino transferase	alanine	biochemistry alanine amino transferase	alanine	alanine	CHEBI_16449
325	Alanine aminotransferase measurement	alanine aminotransferase 1 measurement	EFO:0802260	36088354	UKB	182674.0	EUR	Population Q		325	alanine aminotransferase measurement	alanine aminotransferase 1 measurement	alanine aminotransferase measurement	alanine aminotransferase 1 measurement	alanine aminotransferase 1 measurement	EFO_0802260
328	Blood HIGH LIGHT SCATTER RETICULOCYTE COUNT	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	34226706	UKB	437723.0	EUR	Population Q		328	blood high light scatter reticulocyte count	reticulocyte mean corpuscular hemoglobin measurement	blood high light scatter (light) scatter reticulocyte count	reticulocyte mean corpuscular hemoglobin measurement	reticulocyte mean corpuscular hemoglobin measurement	EFO_0009202
330	Reticulocyte_percentage	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	37262146	UKB	402911.0	EUR	Population Q	Mixed Q/CC	330	reticulocyte_percentage	reticulocyte mean corpuscular hemoglobin measurement	reticulocyte_percentage	reticulocyte mean corpuscular hemoglobin measurement	reticulocyte mean corpuscular hemoglobin measurement	EFO_0009202
331	High_light_scatter_reticulocyte_percentage	Reticulocyte Mean Corpuscular Hemoglobin Measurement	EFO:0009202	37262146	UKB	402912.0	EUR	Population Q	Mixed Q/CC	331	high_light_scatter_reticulocyte_percentage	reticulocyte mean corpuscular hemoglobin measurement	high_light_scatter_reticulocyte_percentage	reticulocyte mean corpuscular hemoglobin measurement	reticulocyte mean corpuscular hemoglobin measurement	EFO_0009202
341	Sciatica (lumbar region measurement	LDH-related sciatica symptom severity measurement	EFO:0007941	34375979	UKB	281104.0	EUR	Population CC/Q		341	sciatica (lumbar region measurement	ldh-related sciatica symptom severity measurement	sciatica (lumbar region measurement	lumbar disc herniation (ldh)-related sciatica symptom severity measurement	ldh-related sciatica symptom severity measurement	EFO_0007941
349	Primarangle-closure glaucoma	neovascular glaucoma	EFO:1001060	34375979	UKB	281104.0	EUR	Population CC/Q		349	primarangle-closure glaucoma	neovascular glaucoma	primarangle-closure glaucoma	neovascular glaucoma	neovascular glaucoma	EFO_1001060
355	Secondarmalignant neoplasm of pleura	Malignant Pleural Neoplasm	EFO:1000362	34375979	UKB	281104.0	EUR	Population CC/Q		355	secondarmalignant neoplasm of pleura	malignant pleural neoplasm	secondarmalignant neoplasm of pleura	malignant pleural neoplasm	malignant pleural neoplasm	EFO_1000362
356	Biochemistry Direct Bilirubin measurement	bilirubin measurement	EFO:0004570	34226706	UKB	372420.0	EUR	Population Q		356	biochemistry direct bilirubin measurement	bilirubin measurement	biochemistry direct bilirubin measurement	bilirubin measurement	bilirubin measurement	EFO_0004570
373	Biochemistry Urate measurement	urate measurement	EFO:0004531	34226706	UKB	437354.0	EUR	Population Q		373	biochemistry urate measurement	urate measurement	biochemistry urate measurement	urate measurement	urate measurement	EFO_0004531
383	Serum urate measurement	urate measurement	EFO:0004531	30315176	Mixed	16189.0	EUR	Population Q	> 80% EUR	383	serum urate measurement	urate measurement	serum urate measurement	urate measurement	urate measurement	EFO_0004531
384	Generalised idiopathic epilepsand epileptic syndromes	generalised epilepsy	EFO:0005917	34375979	UKB	281104.0	EUR	Population CC/Q		384	generalised idiopathic epilepsand epileptic syndromes	generalised epilepsy	generalised idiopathic epilepsand epileptic syndromes	generalised epilepsy	generalised epilepsy	EFO_0005917
393	Low-density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	EFO:0004611	36564505	TOPMed	200000.0	Mixed	Population Q		393	low-density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	low-density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	low density lipoprotein cholesterol measurement	EFO_0004611
395	Sand tenosynovitis	tenosynovitis	EFO:1001435	34375979	UKB	281104.0	EUR	Population CC/Q		395	sand tenosynovitis	tenosynovitis	sand tenosynovitis	tenosynovitis	tenosynovitis	EFO_1001435
401	Chapter diseases of the skin and subcutaneous tissue	skin disease	EFO:0000701	34375979	UKB	281104.0	EUR	Population CC/Q		401	chapter diseases of the skin and subcutaneous tissue	skin disease	chapter diseases of the skin and subcutaneous tissue	skin disease	skin disease	EFO_0000701
406	Pulmonarembolism +|- dvt	deep vein thrombosis	EFO:0003907	34375979	UKB	281104.0	EUR	Population CC/Q		406	pulmonarembolism +|- dvt	deep vein thrombosis	pulmonarembolism +|- dvt	deep vein thrombosis	deep vein thrombosis	EFO_0003907
407	Malignant neoplasms of lip| oral cavitand pharynx	lip cancer	EFO:1001019	34375979	UKB	281104.0	EUR	Population CC/Q		407	malignant neoplasms of lip| oral cavitand pharynx	lip cancer	malignant neoplasms of lip| oral cavitand pharynx	lip cancer	lip cancer	EFO_1001019
412	Chapter vi diseases of the nervous system	autoimmune disorder of the nervous system	MONDO:0002977	34375979	UKB	281104.0	EUR	Population CC/Q		412	chapter vi diseases of the nervous system	autoimmune disorder of the nervous system	chapter vi diseases of the nervous system	autoimmune disorder of the nervous system	autoimmune disorder of the nervous system	MONDO_0002977
414	G30_alzheimer_s_disease	Alzheimer disease	MONDO:0004975	37262146	UKB	423721.0	EUR	Population CC	Mixed Q/CC	414	g30_alzheimer_s_disease	alzheimer disease	g30_alzheimer_s_disease	alzheimer disease	alzheimer disease	MONDO_0004975
434	Blood PLATELET DISTRIB WIDTH	platelet component distribution width	EFO:0007984	34226706	UKB	445262.0	EUR	Population Q		434	blood platelet distrib width	platelet component distribution width	blood platelet distribution (distrib) width	platelet component distribution width	platelet component distribution width	EFO_0007984
437	Musculoskeletal|trauma	trauma complication	EFO:0009888	34375979	UKB	281104.0	EUR	Population CC/Q		437	musculoskeletal|trauma	trauma complication	musculoskeletal|trauma	trauma complication	trauma complication	EFO_0009888
439	Low back pain (lumbar region	Low back pain	HP:0003419	34375979	UKB	281104.0	EUR	Population CC/Q		439	low back pain (lumbar region	low back pain	low back pain (lumbar region	low back pain	low back pain	HP_0003419
458	Viral infection	viral disease	EFO:0000763	34375979	UKB	281104.0	EUR	Population CC/Q		458	viral infection	viral disease	viral infection	viral disease	viral disease	EFO_0000763
469	Sitting_height measurement	sitting height measurement	EFO:0011011	37262146	UKB	421049.0	EUR	Population Q	Mixed Q/CC	469	sitting_height measurement	sitting height measurement	sitting_height measurement	sitting height measurement	sitting height measurement	EFO_0011011
477	Sv-i meta-analysis	body height	EFO:0004339	23891470	GIANT	14600.0	EUR	Population CC	Extreme height	477	sv-i meta-analysis	body height	sv-i meta-analysis	body height	body height	EFO_0004339
486	Deficiencof other specified b group vitamins	disorder of other vitamins and cofactors metabolism and transport	MONDO:0017760	34375979	UKB	281104.0	EUR	Population CC/Q		486	deficiencof other specified b group vitamins	disorder of other vitamins and cofactors metabolism and transport	deficiencof other specified b group vitamins	disorder of other vitamins and cofactors metabolism and transport	disorder of other vitamins and cofactors metabolism and transport	MONDO_0017760
490	Mental and behavioural disorders due to pssubstance use	mental or behavioural disorder	EFO:0000677	34375979	UKB	281104.0	EUR	Population CC/Q		490	mental and behavioural disorders due to pssubstance use	mental or behavioural disorder	mental and behavioural disorders due to pssubstance use	mental or behavioural disorder	mental or behavioural disorder	EFO_0000677
491	Fracture forearm | wrist	wrist fracture	EFO:0009515	34375979	UKB	281104.0	EUR	Population CC/Q		491	fracture forearm | wrist	wrist fracture	fracture forearm | wrist	wrist fracture	wrist fracture	EFO_0009515
492	Fracture upper limb & shoulder	upper extremity fracture	EFO:0009514	34375979	UKB	281104.0	EUR	Population CC/Q		492	fracture upper limb & shoulder	upper extremity fracture	fracture upper limb & shoulder	upper extremity fracture	upper extremity fracture	EFO_0009514
500	Chronic obstructive pulmonardisease| unspecified	Chronic Obstructive Asthma	EFO:0009759	34375979	UKB	281104.0	EUR	Population CC/Q		500	chronic obstructive pulmonardisease| unspecified	chronic obstructive asthma	chronic obstructive pulmonardisease| unspecified	chronic obstructive asthma	chronic obstructive asthma	EFO_0009759
501	Fracture of upper end of tibia (closed	tibia fracture	EFO:0003944	34375979	UKB	281104.0	EUR	Population CC/Q		501	fracture of upper end of tibia (closed	tibia fracture	fracture of upper end of tibia (closed	tibia fracture	tibia fracture	EFO_0003944
509	Fracture of rib (closed	rib fracture	EFO:0009620	34375979	UKB	281104.0	EUR	Population CC/Q		509	fracture of rib (closed	rib fracture	fracture of rib (closed	rib fracture	rib fracture	EFO_0009620
520	Red blood cell (erythrocyte) count	erythrocyte count	EFO:0004305	36138231	UKB	162248.0	EUR	Population Q	Mixed Q/CC	520	red blood cell (erythrocyte) count	erythrocyte count	red blood cell (erythrocyte) count	erythrocyte count	erythrocyte count	EFO_0004305
530	Otitis eunspecified	otitis externa	EFO:0009560	34375979	UKB	281104.0	EUR	Population CC/Q		530	otitis eunspecified	otitis externa	otitis eunspecified	otitis externa	otitis externa	EFO_0009560
531	Malignant neoplasm of kidneerenal pelvis	malignant renal pelvis neoplasm	MONDO:0044919	34375979	UKB	281104.0	EUR	Population CC/Q		531	malignant neoplasm of kidneerenal pelvis	malignant renal pelvis neoplasm	malignant neoplasm of kidneerenal pelvis	malignant renal pelvis neoplasm	malignant renal pelvis neoplasm	MONDO_0044919
534	Pain in limb (lower leg	Lower limb pain	HP:0012514	34375979	UKB	281104.0	EUR	Population CC/Q		534	pain in limb (lower leg	lower limb pain	pain in limb (lower leg	lower limb pain	lower limb pain	HP_0012514
539	Cervicalgia (cervical region	cervical neck region	EFO:0001408	34375979	UKB	281104.0	EUR	Population CC/Q		539	cervicalgia (cervical region	cervical neck region	cervicalgia (cervical region	cervical neck region	cervical neck region	EFO_0001408
555	ACE measurement	acetate measurement	EFO:0010112	31367044	Finnish	10980.0	EUR	Population Q		555	ace measurement	acetate measurement	acetate (ace) measurement	acetate measurement	acetate measurement	EFO_0010112
557	Muscle|soft tissue problem	soft tissue disease	EFO:0009470	34375979	UKB	281104.0	EUR	Population CC/Q		557	muscle|soft tissue problem	soft tissue disease	muscle|soft tissue problem	soft tissue disease	soft tissue disease	EFO_0009470
558	Hof prostate	prostate carcinoma	EFO:0001663	34375979	UKB	281104.0	EUR	Population CC/Q		558	hof prostate	prostate carcinoma	hof prostate	prostate carcinoma	prostate carcinoma	EFO_0001663
563	Male genital tract cancer	male reproductive organ cancer	EFO:0007355	34375979	UKB	281104.0	EUR	Population CC/Q		563	male genital tract cancer	male reproductive organ cancer	male genital tract cancer	male reproductive organ cancer	male reproductive organ cancer	EFO_0007355
565	Sand signs involving cognition| perception| emotional state and behaviour measurement	theory of mind measurement	EFO:0009103	34375979	UKB	281104.0	EUR	Population CC/Q		565	sand signs involving cognition| perception| emotional state and behaviour measurement	theory of mind measurement	sand signs involving cognition| perception| emotional state and behaviour measurement	theory of mind measurement	theory of mind measurement	EFO_0009103
572	Other salmonella infections)	Salmonella Infections	EFO:1001418	34375979	UKB	281104.0	EUR	Population CC/Q		572	other salmonella infections)	salmonella infections	other salmonella infections)	salmonella infections	salmonella infections	EFO_1001418
575	Endometrioid carcinoma	endometrioid carcinoma	EFO:0000466	34375979	UKB	281104.0	EUR	Population CC/Q		575	endometrioid carcinoma	endometrioid carcinoma	endometrioid carcinoma	endometrioid carcinoma	endometrioid carcinoma	EFO_0000466
577	Respiratory|ent	respiratory quotient	EFO:0005189	34375979	UKB	281104.0	EUR	Population CC/Q		577	respiratory|ent	respiratory quotient	respiratory|ent	respiratory quotient	respiratory quotient	EFO_0005189
586	Hereditarhaemorrhagic telangiectasia	telangiectasis	MONDO:0001576	34375979	UKB	281104.0	EUR	Population CC/Q		586	hereditarhaemorrhagic telangiectasia	telangiectasis	hereditarhaemorrhagic telangiectasia	telangiectasis	telangiectasis	MONDO_0001576
588	Haemorrhage from respiratorpassages	hemorrhage	MP:0001914	34375979	UKB	281104.0	EUR	Population CC/Q		588	haemorrhage from respiratorpassages	hemorrhage	haemorrhage from respiratorpassages	hemorrhage	hemorrhage	MP_0001914
589	Low back pain (site unspecified	Low back pain	HP:0003419	34375979	UKB	281104.0	EUR	Population CC/Q		589	low back pain (site unspecified	low back pain	low back pain (site unspecified	low back pain	low back pain	HP_0003419
592	Hand spermatocele	spermatocele	EFO:1001189	34375979	UKB	281104.0	EUR	Population CC/Q		592	hand spermatocele	spermatocele	hand spermatocele	spermatocele	spermatocele	EFO_1001189
597	Chapter iv endocrine| nutritional and metabolic diseases	nutritional deficiency disease	EFO:1001067	34375979	UKB	281104.0	EUR	Population CC/Q		597	chapter iv endocrine| nutritional and metabolic diseases	nutritional deficiency disease	chapter iv endocrine| nutritional and metabolic diseases	nutritional deficiency disease	nutritional deficiency disease	EFO_1001067
604	Adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	EFO:0020982	34375979	UKB	281104.0	EUR	Population CC/Q		604	adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	EFO_0020982
605	Blistering|desquamating skin disorder	skin disease	EFO:0000701	34375979	UKB	281104.0	EUR	Population CC/Q		605	blistering|desquamating skin disorder	skin disease	blistering|desquamating skin disorder	skin disease	skin disease	EFO_0000701
616	Venous insufficienc(chronic (peripheral	chronic venous insufficiency	EFO:0007940	34375979	UKB	281104.0	EUR	Population CC/Q		616	venous insufficienc(chronic (peripheral	chronic venous insufficiency	venous insufficienc(chronic (peripheral	chronic venous insufficiency	chronic venous insufficiency	EFO_0007940
617	Blood EOSINOPHIL COUNT	eosinophil count	EFO:0004842	34226706	UKB	440275.0	EUR	Population Q		617	blood eosinophil count	eosinophil count	blood eosinophil count	eosinophil count	eosinophil count	EFO_0004842
623	1697_comparative_height_size_at_age_10_1_shorter_anyinst__bin	comparative body size at age 10, self-reported	EFO:0009819	34662886	UKB	454787.0	EUR	Population Q	Separate File	623	1697_comparative_height_size_at_age_10_1_shorter_anyinst__bin	comparative body size at age 10, self-reported	1697_comparative_height_size_at_age_10_1_shorter_anyinst__bin	comparative body size at age 10, self-reported	comparative body size at age 10, self-reported	EFO_0009819
624	Forced_expiratory_volume_in_1_second_fev1	forced expiratory volume	EFO:0004314	37262146	UKB	385013.0	EUR	Population Q	Mixed Q/CC	624	forced_expiratory_volume_in_1_second_fev1	forced expiratory volume	forced_expiratory_volume_in_1_second_fev1	forced expiratory volume	forced expiratory volume	EFO_0004314
632	1697_comparative_height_size_at_age_10_2_taller_anyinst__bin	comparative body size at age 10, self-reported	EFO:0009819	34662886	UKB	454787.0	EUR	Population Q	Separate File	632	1697_comparative_height_size_at_age_10_2_taller_anyinst__bin	comparative body size at age 10, self-reported	1697_comparative_height_size_at_age_10_2_taller_anyinst__bin	comparative body size at age 10, self-reported	comparative body size at age 10, self-reported	EFO_0009819
646	Chapter v mental and behavioural disorders	mental or behavioural disorder	EFO:0000677	34375979	UKB	281104.0	EUR	Population CC/Q		646	chapter v mental and behavioural disorders	mental or behavioural disorder	chapter v mental and behavioural disorders	mental or behavioural disorder	mental or behavioural disorder	EFO_0000677
647	Lung FVC measurement	FVC change measurement	EFO:0010339	34226706	UKB	371898.0	EUR	Population Q		647	lung fvc measurement	fvc change measurement	lung forced vital capacity (fvc) measurement	forced vital capacity (fvc) change measurement	fvc change measurement	EFO_0010339
654	Derangement of meniscus due to old tear or injur(other and unspecified lateral meniscus	Abnormal meniscus morphology	HP:0032190	34375979	UKB	281104.0	EUR	Population CC/Q		654	derangement of meniscus due to old tear or injur(other and unspecified lateral meniscus	abnormal meniscus morphology	derangement of meniscus due to old tear or injur(other and unspecified lateral meniscus	abnormal meniscus morphology	abnormal meniscus morphology	HP_0032190
657	Other internal derangements of knee (anterior cruciate ligament or anterior horn of medial meniscus	anterior horn disorder	MONDO:0003182	34375979	UKB	281104.0	EUR	Population CC/Q		657	other internal derangements of knee (anterior cruciate ligament or anterior horn of medial meniscus	anterior horn disorder	other internal derangements of knee (anterior cruciate ligament or anterior horn of medial meniscus	anterior horn disorder	anterior horn disorder	MONDO_0003182
662	IGF_1 measurement	IGF-1 measurement	EFO:0004627	37262146	UKB	400675.0	EUR	Population Q	Mixed Q/CC	662	igf_1 measurement	igf-1 measurement	insulin like growth factor (igf)_1 measurement	insulin like growth factor (igf)-1 measurement	igf-1 measurement	EFO_0004627
672	Other specified pregnancconditions	anthrax infection	EFO:0000778	34375979	UKB	281104.0	EUR	Population CC/Q		672	other specified pregnancconditions	anthrax infection	other specified pregnancconditions	anthrax infection	anthrax infection	EFO_0000778
689	Chronic rhinitis| nasopharand pharyngitis	pharyngitis	MONDO:0002258	34375979	UKB	281104.0	EUR	Population CC/Q		689	chronic rhinitis| nasopharand pharyngitis	pharyngitis	chronic rhinitis| nasopharand pharyngitis	pharyngitis	pharyngitis	MONDO_0002258
691	Adjustment and management of other implanted devices	encounter with health service for adjustment and management of implanted device	EFO:0020982	34375979	UKB	281104.0	EUR	Population CC/Q		691	adjustment and management of other implanted devices	encounter with health service for adjustment and management of implanted device	adjustment and management of other implanted devices	encounter with health service for adjustment and management of implanted device	encounter with health service for adjustment and management of implanted device	EFO_0020982
697	Ulcerative (chronic rectosigmoiditis	ulcerative proctosigmoiditis	EFO:1001223	34375979	UKB	281104.0	EUR	Population CC/Q		697	ulcerative (chronic rectosigmoiditis	ulcerative proctosigmoiditis	ulcerative (chronic rectosigmoiditis	ulcerative proctosigmoiditis	ulcerative proctosigmoiditis	EFO_1001223
700	Pulmonarvalve insufficiency	Vertebrobasilar insufficiency	EFO:1001449	34375979	UKB	281104.0	EUR	Population CC/Q		700	pulmonarvalve insufficiency	vertebrobasilar insufficiency	pulmonarvalve insufficiency	vertebrobasilar insufficiency	vertebrobasilar insufficiency	EFO_1001449
702	Fracture finger	finger fracture	EFO:0009616	34375979	UKB	281104.0	EUR	Population CC/Q		702	fracture finger	finger fracture	fracture finger	finger fracture	finger fracture	EFO_0009616
709	Fracture	bone fracture	EFO:0003931	34375979	UKB	281104.0	EUR	Population CC/Q		709	fracture	bone fracture	fracture	bone fracture	bone fracture	EFO_0003931
710	Ratio of fev1 to fvc	FEV/FEC ratio	EFO:0004713	30175238	SpiroMeta,CHARGE	68470.0	EUR, AFR	Population Q		710	ratio of fev1 to fvc	fev/fec ratio	ratio of fev1 to fvc	forced expiratory volume (fev)/forced expiratory volume (fec) ratio	fev/fec ratio	EFO_0004713
717	Gastrointestinal bleeding	Gastrointestinal hemorrhage	HP:0002239	34375979	UKB	281104.0	EUR	Population CC/Q		717	gastrointestinal bleeding	gastrointestinal hemorrhage	gastrointestinal bleeding	gastrointestinal hemorrhage	gastrointestinal hemorrhage	HP_0002239
721	Kand lordosis	Lumbar hyperlordosis	HP:0002938	34375979	UKB	281104.0	EUR	Population CC/Q		721	kand lordosis	lumbar hyperlordosis	kand lordosis	lumbar hyperlordosis	lumbar hyperlordosis	HP_0002938
722	Abnormal smear (cervix	abnormal PAP smear	EFO:0009511	34375979	UKB	281104.0	EUR	Population CC/Q		722	abnormal smear (cervix	abnormal pap smear	abnormal smear (cervix	abnormal pap smear	abnormal pap smear	EFO_0009511
727	Adipon measurement	adiponectin measurement	EFO:0004502	31367044	Finnish	14172.0	EUR	Population Q		727	adipon measurement	adiponectin measurement	adipon measurement	adiponectin measurement	adiponectin measurement	EFO_0004502
739	Attention to ileostomy	ileostomy	EFO:0010681	34375979	UKB	281104.0	EUR	Population CC/Q		739	attention to ileostomy	ileostomy	attention to ileostomy	ileostomy	ileostomy	EFO_0010681
740	Chondrocostal junction s[tietze]	Tietze syndrome	MONDO:0001858	34375979	UKB	281104.0	EUR	Population CC/Q		740	chondrocostal junction s[tietze]	tietze syndrome	chondrocostal junction s[tietze]	tietze syndrome	tietze syndrome	MONDO_0001858
741	Acute obstructive lar[croup] and epiglottitis	epiglottitis	EFO:0007261	34375979	UKB	281104.0	EUR	Population CC/Q		741	acute obstructive lar[croup] and epiglottitis	epiglottitis	acute obstructive lar[croup] and epiglottitis	epiglottitis	epiglottitis	EFO_0007261
750	Other sand tenosynovitis	tenosynovitis	EFO:1001435	34375979	UKB	281104.0	EUR	Population CC/Q		750	other sand tenosynovitis	tenosynovitis	other sand tenosynovitis	tenosynovitis	tenosynovitis	EFO_1001435
751	Balanitis obliterans	balanitis	EFO:1000833	34375979	UKB	281104.0	EUR	Population CC/Q		751	balanitis obliterans	balanitis	balanitis obliterans	balanitis	balanitis	EFO_1000833
761	Alzheimer’s	Alzheimer disease	MONDO:0004975	26379234	ADNI	505.0	Mixed	Ascertained CC		761	alzheimer’s	alzheimer disease	alzheimer’s	alzheimer disease	alzheimer disease	MONDO_0004975
764	Eczema|dermatitis	contact dermatitis	EFO:0005319	34375979	UKB	281104.0	EUR	Population CC/Q		764	eczema|dermatitis	contact dermatitis	eczema|dermatitis	contact dermatitis	contact dermatitis	EFO_0005319
765	Oral mucositis (ulcerative	oral mucositis	EFO:1001904	34375979	UKB	281104.0	EUR	Population CC/Q		765	oral mucositis (ulcerative	oral mucositis	oral mucositis (ulcerative	oral mucositis	oral mucositis	EFO_1001904
782	Other disorders of the musculoskeletal sand connective tissue	connective tissue disease	EFO:1001986	34375979	UKB	281104.0	EUR	Population CC/Q		782	other disorders of the musculoskeletal sand connective tissue	connective tissue disease	other disorders of the musculoskeletal sand connective tissue	connective tissue disease	connective tissue disease	EFO_1001986
788	Osteopenia	Osteopenia	HP:0000938	34375979	UKB	281104.0	EUR	Population CC/Q		788	osteopenia	osteopenia	osteopenia	osteopenia	osteopenia	HP_0000938
789	Contraceptive management	contraception	EFO:0009520	34375979	UKB	281104.0	EUR	Population CC/Q		789	contraceptive management	contraception	contraceptive management	contraception	contraception	EFO_0009520
790	Blood WHITE COUNT	leukocyte count	EFO:0004308	34226706	UKB	444734.0	EUR	Population Q		790	blood white count	leukocyte count	blood white count	leukocyte count	leukocyte count	EFO_0004308
793	Hyperthyroidism|thyrotoxicosis	Thyrotoxicosis	EFO:0009190	34375979	UKB	281104.0	EUR	Population CC/Q		793	hyperthyroidism|thyrotoxicosis	thyrotoxicosis	hyperthyroidism|thyrotoxicosis	thyrotoxicosis	thyrotoxicosis	EFO_0009190
