	Reported Trait	DISEASE/TRAIT	MAPPED_TRAIT_CLEAN_C	MAPPED_TRAIT_CLEAN_R	trait_type	Domain	Cosine_R	Cosine_C	CosineRC	Keep
332	Lipoprotein a measurement	Lipoprotein (a) levels	lipoprotein A measurement	lipoprotein A measurement	Q	Lipid Measurement	1.0000002	0.8032704	0.8032702	1
333	Phosphate	Phosphate levels	phosphate measurement	phosphate measurement	Q	Metabolic	0.789086	0.80194855	0.8583415	1
334	Diaphragmatic hernia	ICD10 K44: Diaphragmatic hernia	diaphragmatic hernia	diaphragmatic hernia	CC	Muscular	1	0.800684	0.800684	1
335	Diabetic retinopathy	Diabetic retinopathy (all NPDR and PDR)	diabetic retinopathy	diabetic retinopathy	CC	Opthamological	0.99999964	0.8000858	0.8000858	1
336	Cystatin c measurement	Cystatin C levels	cystatin c measurement	cystatin c measurement	Q	Renal	1	0.79600847	0.7960085	1
337	Other local infections of skin and subcutaneous tissue	Skin and soft tissue infections	skin and soft tissue Staphylococcus aureus infection	skin and soft tissue Staphylococcus aureus infection	CC	Infection	0.64827204	0.78943336	0.76197654	0
338	Viral warts measurement	Plantar warts	susceptibility to plantar warts measurement	susceptibility to plantar warts measurement	Q	Infection	0.73985595	0.78902376	0.6139713	1
339	GLY measurement	Glycine levels	glycine measurement	glycine measurement	Q	Metabolic	0.9692869	0.789007	0.7432374	1
340	Omega-6 Fatty Acids to Omega-3 Fatty Acids ratio	Omega-6 fatty acids to omega-3 fatty acids ratio (UKB data field 23459)	omega-6:omega-3 polyunsaturated fatty acid ratio	omega-6:omega-3 polyunsaturated fatty acid ratio	Q	Lipid Measurement	0.85712695	0.7865294	0.9031645	1
341	Dysplasia of cervix uteri	Cervical dysplasia	dysplasia of cervix	dysplasia of cervix	CC	Reproductive	0.9018731	0.7822081	0.68661	1
342	Myeloproliferative disease	Myeloproliferative neoplasms	myeloproliferative disorder	myeloproliferative disorder	CC	Neoplasm	0.9421505	0.7820284	0.8055885	1
343	Myelodysplastic syndromes	Non-del(5q) myelodysplastic syndromes	myelodysplastic syndrome	myelodysplastic syndrome	CC	Neoplasm	0.9790536	0.7817436	0.7949482	1
344	FAW3 measurement	Omega-3 fatty acids levels	omega-3 polyunsaturated fatty acid measurement	omega-3 polyunsaturated fatty acid measurement	Q	Lipid Measurement	0.29923442	0.7814257	0.21608922	1
345	ALA measurement	Alanine levels	alanine measurement	alanine measurement	Q	Metabolic	0.9512577	0.7805462	0.6936676	1
346	Biochemistry Calcium measurement	Calcium levels	calcium measurement	calcium measurement	Q	Metabolic	0.9290702	0.77816993	0.76290584	1
347	Adipon measurement	Adiponectin levels	adiponectin measurement	adiponectin measurement	Q	Endocrine	0.76783395	0.7767695	0.5395164	1
348	Red blood cell count	Red blood cell count	red blood cell density	red blood cell density	CC	Hematological	0.7724112	0.7724112	1	1
349	Abnormal serum enlevels measurement	IgG glycosylation	serum IgG glycosylation measurement	serum igg glycosylation measurement	Q	x	0.4038994	0.77010673	0.052196305	0
350	Diabetes mellitus	Diabetes mellitus (UKB data field 2443)	diabetes mellitus	diabetes mellitus	CC	Endocrine	1.0000002	0.76332057	0.76332057	1
351	Localisation-related (focal (partial sepilepsand epileptic swith simple partial seizures	Partial epilepsies	partial epilepsy	partial epilepsy	CC	Neurological	0.6940017	0.7622253	0.5775031	1
352	Retinal problem	Retinopathy in non-diabetics	retinopathy	retinopathy	CC	Opthamological	0.68799806	0.76140463	0.57444847	1
353	Total protein measurement	Serum total protein levels	total blood protein measurement	total blood protein measurement	Q	Metabolic	0.857908	0.76105785	0.7336142	1
354	TOTPG measurement	Phospholipid levels (plasma)	phospholipid measurement	phospholipid measurement	Q	Lipid Measurement	0.6702922	0.7585252	0.50158095	0
355	Total bilirubin measurement	Total bilirubin levels	bilirubin measurement	bilirubin measurement	Q	Hematological	0.95090806	0.751319	0.8184579	1
356	TYR measurement	Tyrosine levels	tyrosine measurement	tyrosine measurement	Q	Metabolic	0.9450276	0.7442302	0.68784404	1
357	Nephrotic syndrome	Pediatric steroid sensitive nephrotic syndrome	nephrotic syndrome	nephrotic syndrome	CC	Renal	1.0000002	0.74310994	0.74310994	1
358	Other diseases of upper respiratory tract	Inflammatory or infectious upper respiratory disease	upper respiratory tract disorder	upper respiratory tract disorder	CC	Respiratory	0.8540096	0.73995614	0.7875551	1
359	Dermatitis and eczema	Eczema	Eczematoid dermatitis	Eczematoid dermatitis	CC	Dermatological	0.88113105	0.7309514	0.80615395	1
360	Glucose	Random glucose levels	glucose measurement	glucose measurement	Q	Metabolic	0.74839574	0.72552025	0.680088	1
361	Forced vital capacity (fvc)| best measure	FVC	vital capacity	vital capacity	Q	Respiratory	0.7442545	0.7211237	0.94787294	1
362	Monounsaturated Fatty Acids	Total fatty acids	fatty acid measurement	fatty acid measurement	Q	Lipid Measurement	0.6103002	0.7132995	0.71908474	1
363	Phospholipids to Total Lipids in Large LDL percentage	Phospholipids to total lipids in very small VLDL percentage (UKB data field 23604)	Phospholipids:total lipids ratio	phospholipids:total lipids ratio	Q	Lipid Measurement	0.7901125	0.7100128	0.8788152	0
364	Cerebral atherosclerosis	Brain arteriolosclerosis	cerebral atherosclerosis	cerebral atherosclerosis	CC	Cardiovascular	1.0000001	0.709023	0.709023	1
365	TOTCHO measurement	Total cholines levels	choline measurement	choline measurement	Q	Metabolic	0.7972322	0.7032896	0.7243717	1
366	Basal metabolic rate (23105) measurement	Basal metabolic rate	base metabolic rate measurement	base metabolic rate measurement	Q	Metabolic	0.7517922	0.70310074	0.89885265	1
367	Chronic obstructive pulmonardisease| unspecified	Asthma-chronic obstructive  pulmonary disease overlap syndrome	Chronic Obstructive Asthma	chronic obstructive asthma	CC	Respiratory	0.23728606	0.7013618	0.16422218	1
368	Urinartract infection|kidneinfection	Systemic infections	infection	infection	CC	Infection	0.49125123	0.6977718	0.38408196	0
369	Secondarmalignant neoplasm of liver	Hepatic cancer	liver neoplasm	liver neoplasm	CC	Neoplasm	0.85061735	0.69498336	0.6167107	1
370	URATE measurement	Urate levels	urate measurement	urate measurement	Q	Renal	1.0000002	0.69378394	0.6937839	1
371	Total Concentration of Lipoprotein Particles	Total concentration of lipoprotein particles	lipoprotein measurement	lipoprotein measurement	Q	Lipid Measurement	0.69292146	0.69292134	1.0000001	1
372	IDL-C measurement	Concentration of IDL particles	intermediate density lipoprotein measurement	intermediate density lipoprotein measurement	Q	Lipid Measurement	0.851349	0.6859875	0.7690459	1
373	Glycated haemoglobin (hba1c) measurement	Glycated hemoglobin HbA1c levels	HbA1c measurement	hba1c measurement	Q	Hematological	0.7615627	0.6845972	0.87037086	1
374	Body_mass_index_bmi measurement	Body mass index (change over time)	longitudinal BMI measurement	longitudinal bmi measurement	Q	Anthropometric	0.73904026	0.6788846	0.6355033	0
375	Measles	Measles	susceptibility to measles measurement	susceptibility to measles measurement	CC	Infection	0.67606187	0.67606187	0.9999996	1
376	Citrate measurement	Citrate levels	citrate measurement	citrate measurement	Q	Metabolic	1	0.6742182	0.6742182	1
377	Rubella [german measles]	Rubella	susceptibility to rubella infection measurement	susceptibility to rubella infection measurement	CC	Infection	0.65729105	0.6700313	0.7733623	1
378	Mumps	Mumps	susceptibility to mumps measurement	susceptibility to mumps measurement	CC	Infection	0.6679945	0.6679945	1.0000002	1
379	Myositis	Idiopathic inflammatory myopathy	myositis	myositis	CC	Muscular	1.0000001	0.66666365	0.66666365	1
380	Remnant-c measurement	Remnant cholesterol (non-HDL, non-LDL -cholesterol)	remnant cholesterol measurement	remnant cholesterol measurement	Q	Lipid Measurement	0.42373663	0.6639724	0.17344037	1
381	Appendicitis	Gangrenous vs non-gangrenous appendicitis	appendicitis	appendicitis	CC	Gastrointestinal	1.0000004	0.65026873	0.6502689	0
382	Shingles	Shingles	susceptibility to shingles measurement	susceptibility to shingles measurement	CC	Infection	0.6337743	0.6337743	0.99999994	1
383	Total Triglycerides to Total Lipids percentage	Lipid metabolism phenotypes	lipid measurement	lipid measurement	Q	Lipid Measurement	0.64073515	0.6238759	0.52309537	0
384	IGF-1 measurement	Serum levels of protein IGF1	IgF-1 measurement	IgF-1 measurement	Q	Endocrine	0.813291	0.6143415	0.82796836	1
385	Lnlvidd measurement	Left ventricular end systole inferoseptal wall thickness	left ventricular structural measurement	left ventricular structural measurement	Q	Cardiovascular	0.3215376	0.602514	0.143915	0
386	Calculus of kidney and ureter	Kidney stone disease	nephrolithiasis	nephrolithiasis	CC	Renal	0.37679195	0.5952261	0.46476552	1
387	Congenital malformations of aortic and mitral valves	Left ventricular obstructive tract defect (inherited effect)	congenital left-sided heart lesions	congenital left-sided heart lesions	CC	Cardiovascular	0.5690454	0.5933634	0.45450506	1
388	Abnormal glucose tolerance test	Two-hour glucose	glucose tolerance test	glucose tolerance test	Q	Metabolic	0.94275093	0.55342436	0.51778376	0
389	Cardiovascular measurement	Cardiac structure and function	cardiovascular measurement	cardiovascular measurement	Q	Cardiovascular	1	0.48908532	0.48908532	0
390	Certain disorders involving the immune mechanism	Celiac disease or Rheumatoid arthritis	immune system disease	immune system disease	CC	Immunological	0.7775998	0.46642208	0.4677145	0
391	Follicular [nodular] non-hodgkin's lymphoma	Follicular lymphoma	neoplasm of mature b-cells	neoplasm of mature b-cells	CC	Neoplasm	0.27104414	0.32537815	0.8456017	1
392	M88 paget's disease of bone [osteitis deformans]	Paget's disease	osteitis deformans	osteitis deformans	CC	Skeletal	0.7199763	0.3020921	0.7022271	1
393	Trigger finger-hand	Trigger finger	stenosing tenosynovitis	stenosing tenosynovitis	CC	Muscular	-0.0033345772	0.0019648187	0.93221855	1
